period,ENSO,Niño,Niña,neutro
2011 Jan,-1.83,0,1,0
2011 Feb,-1.63,0,1,0
2011 Mar,-1.79,0,1,0
2011 Apr,-1.74,0,1,0
2011 May,-1.29,0,1,0
2011 Jun,-1.08,0,1,0
2011 Jul,-0.86,0,1,0
2011 Aug,-0.88,0,1,0
2011 Sep,-1.16,0,1,0
2011 Oct,-1.37,0,1,0
2011 Nov,-1.21,0,1,0
2011 Dec,-1.24,0,1,0
2012 Jan,-1.08,0,1,0
2012 Feb,-0.67,0,1,0
2012 Mar,-0.59,0,1,0
2012 Apr,-0.43,0,0,1
2012 May,-0.35,0,0,1
2012 Jun,-0.28,0,0,1
2012 Jul,0.3,0,0,1
2012 Aug,-0.06,0,0,1
2012 Sep,-0.32,0,0,1
2012 Oct,-0.22,0,0,1
2012 Nov,-0.07,0,0,1
2012 Dec,-0.07,0,0,1
2013 Jan,-0.05,0,0,1
2013 Feb,-0.07,0,0,1
2013 Mar,-0.14,0,0,1
2013 Apr,-0.37,0,0,1
2013 May,-0.71,0,1,0
2013 Jun,-1.18,0,1,0
2013 Jul,-0.85,0,1,0
2013 Aug,-0.5,0,1,0
2013 Sep,-0.38,0,0,1
2013 Oct,-0.16,0,0,1
2013 Nov,-0.18,0,0,1
2013 Dec,-0.35,0,0,1
2014 Jan,-0.51,0,1,0
2014 Feb,-0.43,0,0,1
2014 Mar,-0.08,0,0,1
2014 Apr,-0.16,0,0,1
2014 May,-0.18,0,0,1
2014 Jun,-0.01,0,0,1
2014 Jul,0.32,0,0,1
2014 Aug,0.16,0,0,1
2014 Sep,-0.15,0,0,1
2014 Oct,0.07,0,0,1
2014 Nov,0.34,0,0,1
2014 Dec,0.34,0,0,1
2015 Jan,0.23,0,0,1
2015 Feb,0.05,0,0,1
2015 Mar,0.13,0,0,1
2015 Apr,0.35,0,0,1
2015 May,0.96,1,0,0
2015 Jun,1.85,1,0,0
2015 Jul,1.73,1,0,0
2015 Aug,1.92,1,0,0
2015 Sep,2.21,1,0,0
2015 Oct,2.11,1,0,0
2015 Nov,1.88,1,0,0
2015 Dec,1.9,1,0,0
2016 Jan,1.94,1,0,0
2016 Feb,1.81,1,0,0
2016 Mar,1.31,1,0,0
2016 Apr,1.33,1,0,0
2016 May,1.26,1,0,0
2016 Jun,0.36,0,0,1
2016 Jul,-0.51,0,1,0
2016 Aug,-0.28,0,0,1
2016 Sep,-0.34,0,0,1
2016 Oct,-0.6,0,1,0
2016 Nov,-0.51,0,1,0
2016 Dec,-0.34,0,0,1
2017 Jan,-0.41,0,0,1
2017 Feb,-0.41,0,0,1
2017 Mar,-0.58,0,1,0
2017 Apr,-0.21,0,0,1
2017 May,0.17,0,0,1
2017 Jun,-0.29,0,0,1
2017 Jul,-0.7,0,1,0
2017 Aug,-0.77,0,1,0
2017 Sep,-0.8,0,1,0
2017 Oct,-0.63,0,1,0
2017 Nov,-0.63,0,1,0
2017 Dec,-0.73,0,1,0
2018 Jan,-0.77,0,1,0
2018 Feb,-0.7,0,1,0
2018 Mar,-0.79,0,1,0
2018 Apr,-1.29,0,1,0
2018 May,-0.91,0,1,0
2018 Jun,-0.51,0,1,0
2018 Jul,-0.17,0,0,1
2018 Aug,0.36,0,0,1
2018 Sep,0.52,1,0,0
2018 Oct,0.41,0,0,1
2018 Nov,0.26,0,0,1
2018 Dec,0.13,0,0,1
2019 Jan,0.08,0,0,1
2019 Feb,0.52,1,0,0
2019 Mar,0.77,1,0,0
2019 Apr,0.33,0,0,1
2019 May,0.26,0,0,1
2019 Jun,0.35,0,0,1
2019 Jul,0.24,0,0,1
2019 Aug,0.3,0,0,1
2019 Sep,0.15,0,0,1
2019 Oct,0.27,0,0,1
2019 Nov,0.45,0,0,1
2019 Dec,0.41,0,0,1
2020 Jan,0.29,0,0,1
2020 Feb,0.3,0,0,1
2020 Mar,0.15,0,0,1
2020 Apr,-0.11,0,0,1
2020 May,-0.24,0,0,1
2020 Jun,-0.73,0,1,0
2020 Jul,-1.0,0,1,0
2020 Aug,-0.99,0,1,0
2020 Sep,-1.19,0,1,0
2020 Oct,-1.2,0,1,0
2020 Nov,-1.15,0,1,0
2020 Dec,-1.16,0,1,0
2021 Jan,-1.2,0,1,0
2021 Feb,-0.95,0,1,0
2021 Mar,-0.79,0,1,0
2021 Apr,-0.96,0,1,0
2021 May,-1.06,0,1,0
2021 Jun,-1.11,0,1,0
2021 Jul,-1.53,0,1,0
