Date,ENSO,Niño,Niña,neutro
2011-01,-1.83,0,1,0
2011-02,-1.63,0,1,0
2011-03,-1.79,0,1,0
2011-04,-1.7400000000000002,0,1,0
2011-05,-1.29,0,1,0
2011-06,-1.08,0,1,0
2011-07,-0.8600000000000003,0,1,0
2011-08,-0.8799999999999999,0,1,0
2011-09,-1.1600000000000001,0,1,0
2011-10,-1.37,0,1,0
2011-11,-1.21,0,1,0
2011-12,-1.2400000000000002,0,1,0
2012-01,-1.08,0,1,0
2012-02,-0.6699999999999999,0,1,0
2012-03,-0.5899999999999999,0,1,0
2012-04,-0.4299999999999997,0,0,1
2012-05,-0.34999999999999964,0,0,1
2012-06,-0.28000000000000025,0,0,1
2012-07,0.2999999999999998,0,0,1
2012-08,-0.05999999999999961,0,0,1
2012-09,-0.3200000000000003,0,0,1
2012-10,-0.21999999999999975,0,0,1
2012-11,-0.07000000000000028,0,0,1
2012-12,-0.07000000000000028,0,0,1
2013-01,-0.04999999999999982,0,0,1
2013-02,-0.07000000000000028,0,0,1
2013-03,-0.13999999999999968,0,0,1
2013-04,-0.3700000000000001,0,0,1
2013-05,-0.71,0,1,0
2013-06,-1.1799999999999997,0,1,0
2013-07,-0.8499999999999996,0,1,0
2013-08,-0.5,0,1,0
2013-09,-0.3799999999999999,0,0,1
2013-10,-0.16000000000000014,0,0,1
2013-11,-0.17999999999999972,0,0,1
2013-12,-0.34999999999999964,0,0,1
2014-01,-0.5099999999999998,0,1,0
2014-02,-0.4299999999999997,0,0,1
2014-03,-0.08000000000000007,0,0,1
2014-04,-0.16000000000000014,0,0,1
2014-05,-0.17999999999999972,0,0,1
2014-06,-0.009999999999999787,0,0,1
2014-07,0.3200000000000003,0,0,1
2014-08,0.16000000000000014,0,0,1
2014-09,-0.15000000000000036,0,0,1
2014-10,0.07000000000000028,0,0,1
2014-11,0.33999999999999986,0,0,1
2014-12,0.33999999999999986,0,0,1
2015-01,0.23000000000000043,0,0,1
2015-02,0.04999999999999982,0,0,1
2015-03,0.1299999999999999,0,0,1
2015-04,0.34999999999999964,0,0,1
2015-05,0.96,1,0,0
2015-06,1.8499999999999996,1,0,0
2015-07,1.7300000000000004,1,0,0
2015-08,1.92,1,0,0
2015-09,2.21,1,0,0
2015-10,2.1099999999999994,1,0,0
2015-11,1.88,1,0,0
2015-12,1.9000000000000004,1,0,0
2016-01,1.9399999999999995,1,0,0
2016-02,1.8100000000000005,1,0,0
2016-03,1.3100000000000005,1,0,0
2016-04,1.33,1,0,0
2016-05,1.2599999999999998,1,0,0
2016-06,0.3600000000000003,0,0,1
2016-07,-0.5099999999999998,0,1,0
2016-08,-0.28000000000000025,0,0,1
2016-09,-0.33999999999999986,0,0,1
2016-10,-0.5999999999999996,0,1,0
2016-11,-0.5099999999999998,0,1,0
2016-12,-0.33999999999999986,0,0,1
2017-01,-0.41000000000000014,0,0,1
2017-02,-0.41000000000000014,0,0,1
2017-03,-0.5800000000000001,0,1,0
2017-04,-0.20999999999999996,0,0,1
2017-05,0.16999999999999993,0,0,1
2017-06,-0.29000000000000004,0,0,1
2017-07,-0.7000000000000002,0,1,0
2017-08,-0.7699999999999996,0,1,0
2017-09,-0.7999999999999998,0,1,0
2017-10,-0.6299999999999999,0,1,0
2017-11,-0.6299999999999999,0,1,0
2017-12,-0.7300000000000004,0,1,0
2018-01,-0.7699999999999996,0,1,0
2018-02,-0.7000000000000002,0,1,0
2018-03,-0.79,0,1,0
2018-04,-1.29,0,1,0
2018-05,-0.9100000000000001,0,1,0
2018-06,-0.5099999999999998,0,1,0
2018-07,-0.16999999999999993,0,0,1
2018-08,0.3600000000000003,0,0,1
2018-09,0.5199999999999996,1,0,0
2018-10,0.41000000000000014,0,0,1
2018-11,0.2599999999999998,0,0,1
2018-12,0.1299999999999999,0,0,1
2019-01,0.08000000000000007,0,0,1
2019-02,0.5199999999999996,1,0,0
2019-03,0.7699999999999996,1,0,0
2019-04,0.33000000000000007,0,0,1
2019-05,0.2599999999999998,0,0,1
2019-06,0.34999999999999964,0,0,1
2019-07,0.2400000000000002,0,0,1
2019-08,0.2999999999999998,0,0,1
2019-09,0.15000000000000036,0,0,1
2019-10,0.2699999999999996,0,0,1
2019-11,0.4500000000000002,0,0,1
2019-12,0.41000000000000014,0,0,1
2020-01,0.29000000000000004,0,0,1
2020-02,0.2999999999999998,0,0,1
2020-03,0.15000000000000036,0,0,1
2020-04,-0.11000000000000032,0,0,1
2020-05,-0.2400000000000002,0,0,1
2020-06,-0.7300000000000004,0,1,0
2020-07,-1.0,0,1,0
2020-08,-0.9900000000000002,0,1,0
2020-09,-1.19,0,1,0
2020-10,-1.2000000000000002,0,1,0
2020-11,-1.15,0,1,0
2020-12,-1.1600000000000001,0,1,0
2021-01,-1.2000000000000002,0,1,0
2021-02,-0.9500000000000002,0,1,0
2021-03,-0.79,0,1,0
2021-04,-0.96,0,1,0
2021-05,-1.06,0,1,0
2021-06,-1.1100000000000003,0,1,0
2021-07,-1.5300000000000002,0,1,0
2021-08,-0.6099999999999994,0,1,0
2021-09,-0.3466666666666667,0,0,1
2021-10,-0.3466666666666667,0,0,1
2021-11,-0.42799999999999994,0,0,1
2021-12,-0.42799999999999994,0,0,1
2022-01,-0.22000000000000064,0,0,1
2022-02,0.2999999999999998,0,0,1
2022-03,0.18937500000000185,0,0,1
2022-04,0.18937500000000185,0,0,1
2022-05,0.18937500000000185,0,0,1
2022-06,0.18937500000000185,0,0,1
2022-07,0.18937500000000185,0,0,1
2022-08,0.18937500000000185,0,0,1
2022-09,0.18937500000000185,0,0,1
2022-10,0.18937500000000185,0,0,1
2022-11,0.18937500000000185,0,0,1
2022-12,0.18937500000000185,0,0,1
