index,Proyeccion
2011-01,475.829
2011-02,538.754
2011-03,574.236
2011-04,574.398
2011-05,549.279
2011-06,548.322
2011-07,495.064
2011-08,454.337
2011-09,442.903
2011-10,491.91
2011-11,488.721
2011-12,495.117
2012-01,484.497
2012-02,585.307
2012-03,622.673
2012-04,610.318
2012-05,659.726
2012-06,636.017
2012-07,592.88
2012-08,549.621
2012-09,585.796
2012-10,630.446
2012-11,603.502
2012-12,558.688
2013-01,551.51
2013-02,606.425
2013-03,633.399
2013-04,647.784
2013-05,700.977
2013-06,658.947
2013-07,565.063
2013-08,543.668
2013-09,548.975
2013-10,567.827
2013-11,565.02
2013-12,546.238
2014-01,554.328
2014-02,618.746
2014-03,654.712
2014-04,575.539
2014-05,583.891
2014-06,575.818
2014-07,537.447
2014-08,533.259
2014-09,543.666
2014-10,550.622
2014-11,533.076
2014-12,492.752
2015-01,503.792
2015-02,595.673
2015-03,686.063
2015-04,672.431
2015-05,701.083
2015-06,655.301
2015-07,634.525
2015-08,633.214
2015-09,653.76
2015-10,655.93
2015-11,603.454
2015-12,560.915
2016-01,545.696
2016-02,625.246
2016-03,628.948
2016-04,613.803
2016-05,637.32
2016-06,616.124
2016-07,586.479
2016-08,598.592
2016-09,608.955
2016-10,642.303
2016-11,599.01
2016-12,518.813
2017-01,475.387
2017-02,524.215
2017-03,567.855
2017-04,545.463
2017-05,590.324
2017-06,588.216
2017-07,559.01
2017-08,554.854
2017-09,575.698
2017-10,618.563
2017-11,598.374
2017-12,502.324
2018-01,490.047
2018-02,580.714
2018-03,609.813
2018-04,611.013
2018-05,634.722
2018-06,623.725
2018-07,561.879
2018-08,552.029
2018-09,581.513
2018-10,589.403
2018-11,570.917
2018-12,507.668
2019-01,505.287
2019-02,562.733
2019-03,615.674
2019-04,608.379
2019-05,621.456
2019-06,628.956
2019-07,619.454
2019-08,611.692
2019-09,606.784
2019-10,598.75
2019-11,611.916
2019-12,574.84
2020-01,580.464
2020-02,625.588
2020-03,648.975
2020-04,616.946
2020-05,611.222
2020-06,467.927
2020-07,460.173
2020-08,460.635
2020-09,464.919
2020-10,465.619
2020-11,447.115
2020-12,419.772
2021-01,415.935
2021-02,457.508
2021-03,483.352
2021-04,451.02
2021-05,456.921
2021-06,462.446
2021-07,442.145
2021-08,476.85163342759574
2021-09,464.91698075048663
2021-10,477.78922779762445
2021-11,478.12912732711067
2021-12,478.47054579639996
2022-01,498.19889470170875
2022-02,614.8252528526172
2022-03,599.9031167654141
2022-04,603.7721988560937
2022-05,604.2107286688723
2022-06,604.6510463861314
2022-07,562.6396182809764
2022-08,608.9667873069396
2022-09,602.5355715534545
2022-10,606.4306895150031
2022-11,606.8802550140585
2022-12,570.1193336662309
